,date,country,confirmed,recovered,deaths
0,2020-03-25,Australia,2364,119,8
1,2020-03-25,Austria,5588,9,30
2,2020-03-25,Canada,3400,183,35
3,2020-03-25,China,81667,73775,3285
4,2020-03-25,Denmark,1862,41,34
5,2020-03-25,Finland,880,10,3
6,2020-03-25,France,25600,3907,1333
7,2020-03-25,Germany,37323,3547,206
8,2020-03-25,Iceland,737,56,2
9,2020-03-25,Ireland,1564,5,9
10,2020-03-25,Italy,74386,9362,7503
11,2020-03-25,Netherlands,6440,6,357
12,2020-03-25,Norway,3084,6,14
13,2020-03-25,Russia,658,29,3
14,2020-03-25,Sweden,2526,16,62
15,2020-03-25,Switzerland,10897,131,153
16,2020-03-25,United Kingdom,9640,140,466
17,2020-03-25,United States,68572,593,1031
18,2020-03-25,Afghanistan,84,2,2
19,2020-03-25,Albania,146,17,5
20,2020-03-25,Algeria,302,65,21
21,2020-03-25,Andorra,188,1,1
22,2020-03-25,Angola,3,0,0
23,2020-03-25,Antigua And Barbuda,3,0,0
24,2020-03-25,Argentina,502,52,8
25,2020-03-25,Armenia,265,16,0
26,2020-03-25,Azerbaijan,93,10,2
27,2020-03-25,Bahamas,5,1,0
28,2020-03-25,Bahrain,419,177,4
29,2020-03-25,Bangladesh,39,7,5
30,2020-03-25,Barbados,18,0,0
31,2020-03-25,Belarus,86,29,0
32,2020-03-25,Belgium,4937,547,178
33,2020-03-25,Belize,2,0,0
34,2020-03-25,Benin,6,0,0
35,2020-03-25,Bhutan,2,0,0
36,2020-03-25,Bolivia,38,0,0
37,2020-03-25,Bosnia And Herzegovina,176,2,3
38,2020-03-25,Brazil,2554,2,59
39,2020-03-25,Brunei,109,2,0
40,2020-03-25,Bulgaria,242,4,3
41,2020-03-25,Burkina Faso,146,10,4
42,2020-03-25,Cabo Verde,4,0,1
43,2020-03-25,Cambodia,96,10,0
44,2020-03-25,Cameroon,75,2,1
45,2020-03-25,Central African Republic,3,0,0
46,2020-03-25,Chad,3,0,0
47,2020-03-25,Chile,1142,22,3
48,2020-03-25,Colombia,470,8,4
49,2020-03-25,Congo (Brazzaville),4,0,0
50,2020-03-25,Congo (Kinshasa),48,0,2
51,2020-03-25,Costa Rica,201,2,2
52,2020-03-25,Cote D'Ivoire,80,3,0
53,2020-03-25,Croatia,442,22,1
54,2020-03-25,Cuba,57,1,1
55,2020-03-25,Cyprus,132,3,3
56,2020-03-25,Czechia,1654,10,6
57,2020-03-25,Diamond Princess,712,587,10
58,2020-03-25,Djibouti,11,0,0
59,2020-03-25,Dominica,11,0,0
60,2020-03-25,Dominican Republic,392,3,10
61,2020-03-25,Ecuador,1211,3,29
62,2020-03-25,Egypt,456,95,21
63,2020-03-25,El Salvador,13,0,0
64,2020-03-25,Equatorial Guinea,9,0,0
65,2020-03-25,Eritrea,4,0,0
66,2020-03-25,Estonia,404,8,1
67,2020-03-25,Eswatini,4,0,0
68,2020-03-25,Ethiopia,12,0,0
69,2020-03-25,Fiji,5,0,0
70,2020-03-25,Gabon,6,0,1
71,2020-03-25,Gambia,3,0,1
72,2020-03-25,Georgia,75,10,0
73,2020-03-25,Ghana,93,0,4
74,2020-03-25,Greece,821,36,22
75,2020-03-25,Grenada,1,0,0
76,2020-03-25,Guatemala,24,4,1
77,2020-03-25,Guinea,4,0,0
78,2020-03-25,Guinea-Bissau,2,0,0
79,2020-03-25,Guyana,5,0,1
80,2020-03-25,Haiti,8,0,0
81,2020-03-25,Holy See,4,0,0
82,2020-03-25,Honduras,52,0,0
83,2020-03-25,Hungary,226,21,10
84,2020-03-25,India,657,43,12
85,2020-03-25,Indonesia,790,31,58
86,2020-03-25,Iran,27017,9625,2077
87,2020-03-25,Iraq,346,103,29
88,2020-03-25,Israel,2369,58,5
89,2020-03-25,Jamaica,26,2,1
90,2020-03-25,Japan,1307,310,45
91,2020-03-25,Jordan,172,1,0
92,2020-03-25,Kazakhstan,81,0,0
93,2020-03-25,Kenya,28,1,0
94,2020-03-25,"Korea, South",9137,3730,126
95,2020-03-25,Kuwait,195,43,0
96,2020-03-25,Kyrgyzstan,44,0,0
97,2020-03-25,Laos,3,0,0
98,2020-03-25,Latvia,221,1,0
99,2020-03-25,Lebanon,333,20,6
100,2020-03-25,Liberia,3,0,0
101,2020-03-25,Libya,1,0,0
102,2020-03-25,Liechtenstein,51,0,0
103,2020-03-25,Lithuania,274,1,4
104,2020-03-25,Luxembourg,1333,6,8
105,2020-03-25,Madagascar,19,0,0
106,2020-03-25,Malaysia,1796,199,20
107,2020-03-25,Maldives,13,8,0
108,2020-03-25,Mali,2,0,0
109,2020-03-25,Malta,129,2,0
110,2020-03-25,Mauritania,2,0,0
111,2020-03-25,Mauritius,48,0,2
112,2020-03-25,Mexico,405,4,5
113,2020-03-25,Moldova,149,2,1
114,2020-03-25,Monaco,31,1,0
115,2020-03-25,Mongolia,10,0,0
116,2020-03-25,Montenegro,53,0,1
117,2020-03-25,Morocco,225,7,6
118,2020-03-25,Mozambique,5,0,0
119,2020-03-25,Namibia,7,2,0
120,2020-03-25,Nepal,3,1,0
121,2020-03-25,New Zealand,283,27,0
122,2020-03-25,Nicaragua,2,0,0
123,2020-03-25,Niger,7,0,1
124,2020-03-25,Nigeria,51,2,1
125,2020-03-25,North Macedonia,177,1,3
126,2020-03-25,Oman,99,17,0
127,2020-03-25,Pakistan,1063,21,8
128,2020-03-25,Panama,558,2,8
129,2020-03-25,Papua New Guinea,1,0,0
130,2020-03-25,Paraguay,37,0,3
131,2020-03-25,Peru,480,1,9
132,2020-03-25,Philippines,636,26,38
133,2020-03-25,Poland,1051,7,14
134,2020-03-25,Portugal,2995,22,43
135,2020-03-25,Qatar,537,41,0
136,2020-03-25,Romania,906,86,17
137,2020-03-25,Rwanda,41,0,0
138,2020-03-25,Saint Kitts And Nevis,2,0,0
139,2020-03-25,Saint Lucia,3,0,0
140,2020-03-25,Saint Vincent And The Grenadines,1,0,0
141,2020-03-25,San Marino,208,4,21
142,2020-03-25,Saudi Arabia,900,29,2
143,2020-03-25,Senegal,99,9,0
144,2020-03-25,Serbia,384,15,4
145,2020-03-25,Seychelles,7,0,0
146,2020-03-25,Singapore,631,160,2
147,2020-03-25,Slovakia,216,7,0
148,2020-03-25,Slovenia,528,10,5
149,2020-03-25,Somalia,1,0,0
150,2020-03-25,South Africa,709,12,0
151,2020-03-25,Spain,49515,5367,3647
152,2020-03-25,Sri Lanka,102,3,0
153,2020-03-25,Sudan,3,0,1
154,2020-03-25,Suriname,8,0,0
155,2020-03-25,Syria,5,0,0
156,2020-03-25,Taiwan*,235,29,2
157,2020-03-25,Tanzania,13,0,0
158,2020-03-25,Thailand,934,70,4
159,2020-03-25,Timor-Leste,1,0,0
160,2020-03-25,Togo,23,1,0
161,2020-03-25,Trinidad And Tobago,60,0,1
162,2020-03-25,Tunisia,173,2,5
163,2020-03-25,Turkey,2433,26,59
164,2020-03-25,Uganda,14,0,0
165,2020-03-25,Ukraine,145,1,5
166,2020-03-25,United Arab Emirates,333,52,2
167,2020-03-25,Uruguay,217,0,0
168,2020-03-25,Uzbekistan,60,0,0
169,2020-03-25,Venezuela,106,15,0
170,2020-03-25,Vietnam,148,17,0
171,2020-03-25,Zambia,12,0,0
172,2020-03-25,Zimbabwe,3,0,1
